Job Title,Company,Status,AI Confidence Score,Priority Score,Web Intelligence Score,Enrichment Timestamp,Source URL,Agency,Apify Run ID,Capture Manager,City,Clearance Level,Competition Level,Contract End Date,Contract NAICS,Contract Value,Contract Vehicle,Data Quality Score,Days Since Post,Department,Error Log,Federal Contracts Found,GitHub Repos,Incumbent Contractor,Job ID,Last Updated,Location,Prime Contractor,Program Name,Reporting Manager,Required Technologies,Research Notes,Salary Numeric,Salary Range,State,Subcontractors,Team/Function,Validation Status,Contract Number Parsed,Duplicates,Error Type,Expedited Enrichment,Incumbent Score,Job Description,NAICS Parsed,Our Company Canonical,Our Eligibility,Prime Company,Priority Boost,Priority Weight,Processing Stage,Pursuit Cost Index,Related Contract Vehicles,Related Contractors,Related Enrichment Runs,Related Federal Programs,Retry Counter,Revenue Potential,Set-aside Status,Suggested Contract Vehicles,Tags,Technology Match,Win Probability Score,Is Our Company Sub?,BD Priority Index,"Enrichment Readiness Score ",Is Our Company Sub? 1,Source Program
TEST-Senior DevSecOps Engineer,Insight Global,pending_enrichment,0.85,90,,,https://insightglobal.com/test-job,NSA,,,Fort Meade,TS/SCI w/ Poly,,,,,,40,,,,Yes,,,,,"Fort Meade, MD",,,,,,,,MD,,,,,,,Yes,,"Test job for DevSecOps engineer requiring TS/SCI with Poly clearance. Must have experience with CI/CD pipelines, Kubernetes, and security automation.",,Prime Technical Services,Yes,,,,,,,,,,,0,,,,,17,No,87,✅ Ready,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,"Prime Technical Services for Federal Contracts Found: No
Prime Technical Services for Our Eligibility: No
Prime Technical Services for Expedited Enrichment: No",No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,"Prime Technical Services
Prime Technical Services
Prime Technical Services",No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,"Prime Technical Services
Prime Technical Services
Prime Technical Services",No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
,,,,,,,,,,,,,,,,,,0,,,,No,,,,,,,,,,,,,,,,,,,,No,,,,Prime Technical Services,No,,,,,,,,,,,0,,,,,0,No,-3,⚠️ Missing Data,No,
