piid,description,obligated,fiscal_year,awarding_agency,awarding_department,funding_agency,funding_department,dod_match_reason,period_start,period_end,ultimate_completion,performance_city,performance_state,subcontractor_count,subawards_total,naics_code
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
47QFWA26F0006,TASK ORDER AWARD OF INFORMATION ASSURANCE/MISSION ASSURANCE LIFECYCLE MANAGEMENT PROGRAM -INTEGRATED DATA ENVIRONMENT (IA/MA LCMP-IDE) FOR THE EXECUTIVE AIRCRAFT DIVISION (EAD).,16196604.55,2026,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding Dept: 97,2026-01-20,2027-01-19,2028-01-19,OKLAHOMA CITY,OKLAHOMA,0,0.0,541512
47QFCA26F0004,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,2026,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding Dept: 97,2026-02-26,2027-02-25,2031-02-25,RESTON,VIRGINIA,0,0.0,541512
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
FA822426C0002,"PROVIDE SERVICES TO IMPLEMENT THE MAINTENANCE BUSINESS SYSTEM MODERNIZATION (MABSM) MAINTENANCE REPAIR AND OVERHAUL (MRO) SYSTEM SYSTEM OF RECORD FOR OO-ALC, WR-ALC AND OOC-ALC, TO INCLUDE CLOUDONE FUNCTIONALITY. SBA REQUIREMENT NUMBER #YH1750699516B",18650973.6,2026,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding Dept: 97,2025-10-20,2027-03-31,2028-03-31,HILL AFB,UTAH,0,0.0,541513
